ТИП,ВОПРОС,ОТВЕТ,КОНТЕКСТ
простой,Как удалять сообщения в Мессенджере?,В веб-версии VK Мессенджера нажмите на три точки рядом с сообщением → «Удалить».В мобильном приложении VK Мессенджер удерживайте пальцем нужное сообщение в чате → Нажмите на значок корзины («Удалить»).Удалить сообщения у всех можно в течение суток после отправки. ,В веб-версии VK Мессенджера нажмите на три точки рядом с сообщением → «Удалить».В мобильном приложении VK Мессенджер удерживайте пальцем нужное сообщение в чате → Нажмите на значок корзины («Удалить»).Удалить сообщения у всех можно в течение суток после отправки. На пересланные сообщения удаление оригинала не влияет.
простой,Как поменять настройки для таргетинговой рекламы?,"Чтобы изменить настройки таргетинга, необходимо на уровне рекламного объявления нажать кнопку “Редактировать” и внести изменения в настройки таргетинга. Затем сохранить объявление.","Чтобы изменить настройки таргетинга, необходимо на уровне рекламного объявления нажать кнопку “Редактировать” и внести изменения в настройки таргетинга. Затем сохранить объявление."
простой,Что такое пользовательские жалобы?,"Пользователь может пожаловаться на рекламную запись. После жалобы, запись больше не будет показываться этому пользователя. Оснований для жалобы может быть несколько: 1. Спам. 2. Оскорбление. 3. Материал для взрослых. 4. Пропаганда наркотиков. 5. Детская порнография. 6. Насилие / экстремизм. 7. Призыв к суициду. Вы не сможете получить информацию о том, кто и по какой причине пожаловался на вашу запись - эта опция анонимна. Жалобы рассматриваются модератором, если будет выявлено нарушение правил размещения рекламы, рекламная запись будет отклонена. Если нарушений нет, жалобы никак не повлияют на ход размещения.","Пользователь может пожаловаться на рекламную запись. После жалобы, запись больше не будет показываться этому пользователя.Как это происходит: когда пользователь видит рекламную запись, у него есть возможность [https://vk.com/faq12124|скрыть] её. При скрытии появляется всплывающее окно с кнопкой ПожаловатьсяОснований для жалобы может быть несколько: 1. Спам.2. Оскорбление.3. Материал для взрослых.4. Пропаганда наркотиков.5. Детская порнография.6. Насилие / экстремизм.7. Призыв к суициду.Вы не сможете получить информацию о том, кто и по какой причине пожаловался на вашу запись - эта опция анонимна. Жалобы рассматриваются модератором, если будет выявлено нарушение правил размещения рекламы, рекламная запись будет отклонена. Если нарушений нет, жалобы никак не повлияют на ход размещения.[https://vk.com/faq20656|Что делать, если скрытий и жалоб много?]"
простой,Как изменить правила аудитории?,"Чтобы изменить правило аудитории, нажмите на стрелочку справа от её названия и в выпадающем меню выберите «Редактировать правило».","Чтобы изменить правило аудитории, нажмите на стрелочку справа от её названия и в выпадающем меню выберите «Редактировать правило»."
суммаризация,В чем может быть причина нерабочих пикселей?,"Статус «не работает» у пикселя может означать несколько причин: Пиксель не установлен на сайт или установлен неправильно. Проверьте, правильно ли установлен пиксель на вашем сайте. Убедитесь, что код скопирован полностью и не изменён: вносить изменения в пиксель нельзя.:Код должен быть размещён в верхней части исходного кода сайта между тегами <head> и </head>. У вас уже могут быть другие коды между тегами <head>, поэтому просто поместите код пикселя ВКонтакте ниже других кодов, но выше тега </head>. Пиксель настроен неправильно Убедитесь, что адрес сайта, указанный в настройках пикселя, и сайт, на котором установлен пиксель, совпадают. Сайт давно не посещали Статус «не работает» может также означать, что ваш сайт посещают слишком редко: если на сайте нет посетителей более 24 часов, пиксель будет показывать статус «не работает». Если указанные причины не помогли решить проблему с пикселем, пожалуйста, обратитесь в поддержку ВКонтакте для бизнеса.","Статус «не работает» у пикселя может означать несколько причин: Пиксель не установлен на сайт или установлен неправильно. Проверьте, правильно ли установлен пиксель на вашем сайте. Убедитесь, что код скопирован полностью и не изменён: вносить изменения в пиксель нельзя.:Код должен быть размещён в верхней части исходного кода сайта между тегами <head> и </head>. У вас уже могут быть другие коды между тегами <head>, поэтому просто поместите код пикселя ВКонтакте ниже других кодов, но выше тега </head>. Пиксель настроен неправильно Убедитесь, что адрес сайта, указанный в настройках пикселя, и сайт, на котором установлен пиксель, совпадают. Сайт давно не посещали Статус «не работает» может также означать, что ваш сайт посещают слишком редко: если на сайте нет посетителей более 24 часов, пиксель будет показывать статус «не работает». Если указанные причины не помогли решить проблему с пикселем, пожалуйста, обратитесь в поддержку ВКонтакте для бизнеса."
простой,Как отредактировать пиксель?,"Чтобы отредактировать пиксель, нажмите на стрелочку справа от его названия и в выпадающем меню выберите «Редактировать».","Чтобы отредактировать пиксель, нажмите на стрелочку справа от его названия и в выпадающем меню выберите «Редактировать». При редактировании пикселя все собранные ранее данные не пересчитываются."
простой,Как избежать дополнительных списаний за размещение рекламы?,"Чтобы избежать неожиданных досписаний, рекомендуем проставлять общий лимит рекламного объявления по сумме трат на момент остановки.Например, если объявление потратило 450 р., установите общий лимит этого объявления на 450 р.","Предположим, вы остановили рекламное размещение, но спустя несколько часов или дней в статистике по этому объявлению появились небольшие траты, как будто объявление показывалось после остановки.Почему это происходит?Дело в технических особенностях учёта системой показов и трат. Деньги списываются с баланса вашего рекламного кабинета не за каждый показ, а определёнными порциями — в зависимости от нагрузки на аукцион.Поэтому, когда вы неожиданно для системы останавливаете объявление, она «запоминает» несколько показов, которые получило ваше объявление, но которые вы ещё не успели оплатить. Спустя некоторое время (или при наступлении даты планируемой остановки объявления по таймеру) система понимает, что объявление остановлено окончательно, и списывает долг.Как этого избежать?Чтобы избежать неожиданных досписаний, рекомендуем проставлять общий лимит рекламного объявления по сумме трат на момент остановки.Например, если объявление потратило 450 р., установите общий лимит этого объявления на 450 р."
простой,Как узнать причину отказа размещения рекламного объявления?,"Если одно из ваших объявлений было отклонено, это значит что его показы остановлены. Чтобы запустить рекламу, вам необходимо устранить нарушения: отредактировать объявление или предоставить необходимые документы, которые мы запрашиваем в соответствии с Правилами.","Если одно из ваших объявлений было отклонено, это значит что его показы остановлены. Чтобы запустить рекламу, вам необходимо устранить нарушения: отредактировать объявление или предоставить необходимые документы, которые мы запрашиваем в соответствии с Правилами. [vk.com/faq20698|Как узнать причину отклонения рекламного объявления][vk.com/faq20703|Как настроить уведомления в рекламном кабинете]"
условный,"Как поступить, если фирма с данным ИНН уже зарегистрирована?","ВКонтакте один ИНН может быть использован только в одном рекламном кабинете.Если при заполнении реквизитов юридического лица вы видите уведомление о том, что такой ИНН уже используется, вам необходимо отправить запрос в поддержку. Кабинет с вашим ИНН будет найден и закрыт, после чего вы сможете использовать реквизиты.","ВКонтакте один ИНН может быть использован только в одном рекламном кабинете.Если при заполнении реквизитов юридического лица вы видите уведомление о том, что такой ИНН уже используется, вам необходимо отправить запрос [https://vk.cc/payhelp|Поддержку]. Кабинет с вашим ИНН будет найден и закрыт, после чего вы сможете использовать реквизиты."
простой,"Что делать, если у меня нет КПП?","Оставьте поле КПП незаполненным, система позволит сохранить реквизиты и без указания КПП.","Оставьте поле КПП незаполненным, система позволит сохранить реквизиты и без указания КПП."
условный,"Что делать, если мой профиль заблокировали?","При входе в заблокированный профиль вы увидите информацию о сроке и причине блокировки, а также о том, как его разблокировать. Вам нужно будет получить код подтверждения на телефон и указать его в соответствующем поле. Если старый номер телефона вам недоступен, укажите при разблокировке новый — он привяжется к вашему профилю. Этот телефон не должен быть закреплён за другим аккаунтом ВКонтакте.Если при разблокировке вы указали новый телефон, спустя 24 часа вам нужно будет выйти из аккаунта и авторизоваться заново, уже с новыми данными. При авторизации укажите новый номер в качестве логина и новый пароль, который придумали во время разблокировки.Если способ разблокировки по номеру не подойдёт, отправьте заявку на восстановление с помощью фотографий по этой ссылке. Вернуться к заявке можно по ссылке из SMS или по адресу.Продолжить пользоваться профилем вы сможете по истечении указанного срока — досрочных разблокировок на платформе нет. Чтобы избежать новых блокировок, соблюдайте рекомендации по безопасности.Если для ваших друзей профиль отображается незаблокированным и дата последней активности не совпадает с вашими последними входами, вероятно, вы случайно попали в старый аккаунт. В случае бессрочной блокировки аккаунта номер телефона блокируется вместе с ним. Создать новый профиль с тем же номером, увы, не получится.Если у вас возникают вопросы или если вы не согласны с блокировкой, напишите в Поддержку — мы детально обсудим вашу проблему.","При входе в заблокированный профиль вы увидите информацию о сроке и причине блокировки, а также о том, как его разблокировать. Вам нужно будет получить код подтверждения на телефон и указать его в соответствующем поле. О возможных причинах отсутствия проверочного SMS от ВКонтакте мы рассказали [https://vk.com/faq19166|здесь].Если <u>старый номер телефона вам недоступен</u>, укажите при разблокировке новый — он привяжется к вашему профилю. Этот телефон не должен быть закреплён за другим аккаунтом ВКонтакте. Если с номером возникли сложности, нажмите [https://vk.com/tutorial?id=phone_number|сюда].Если при разблокировке вы <u>указали новый телефон</u>, спустя 24 часа вам нужно будет выйти из аккаунта и авторизоваться заново, уже с новыми данными. При авторизации укажите новый номер в качестве логина и новый пароль, который придумали во время разблокировки.Если <u>способ разблокировки по номеру не подойдёт</u>, отправьте заявку на восстановление с помощью фотографий по [https://id.vk.com/restore?act=return_page&full=1&mid=240387774&restore_nav=helpdesk&from=helpdesk|этой ссылке]. Вернуться к заявке можно по ссылке из SMS или по адресу vk.com/restore?act=info.<u>Продолжить пользоваться профилем</u> вы сможете по истечении указанного срока — досрочных разблокировок на платформе нет. Чтобы избежать новых блокировок, соблюдайте [https://vk.com/faq18524|рекомендации по безопасности].Если для ваших друзей профиль <u>отображается незаблокированным</u> и дата последней активности не совпадает с вашими последними входами, вероятно, вы случайно попали в старый аккаунт. Такая ситуация возможна, если в ваших профилях совпадают данные для входа. [https://vk.com/faq18062|Сверьте адреса профилей] и смените пароль в одном из аккаунтов при необходимости.<u>При утере доступа</u> к заблокированному профилю воспользуйтесь этой [https://vk.com/faq18515|статьёй]. В случае <u>бессрочной блокировки аккаунта</u> номер телефона блокируется вместе с ним. Создать новый профиль с тем же номером, увы, не получится.Если у вас возникают вопросы или если вы не согласны с блокировкой, напишите в Поддержку — мы детально обсудим вашу проблему.Важно: необходимо создать обращение именно с заблокированного аккаунта. Для этого нужно зайти в профиль через браузер и открыть ссылку: vk.cc/help. Если вы используете мобильное приложение, то надо войти в заблокированный профиль и нажать на кнопку Обратиться в Поддержку (она расположена на экране блокировки и подсвечена синим цветом)."
простой,Как удалить историю платежей?,"Информацию о балансе, историю платежей и переводов голосов удалить не получится. Такую возможность мы не вводим из соображений безопасности.","Информацию о балансе, историю платежей и переводов голосов удалить не получится. Такую возможность мы не вводим из соображений безопасности. Например, если чью-то страницу взломают и переведут с неё голоса, мы это обязательно увидим именно благодаря странице баланса."
условный,"Что делать, если мои данные используются на чужой странице?","Если на чужой странице используются ваше имя, фамилия, фотография или другие данные, напишите нам. Для решения понадобятся следующие данные:1. Ссылка на страницу самозванца2. Описание, что именно украдено (главная фотография, информация, имя)3. Фотография вашего документа (это может быть паспорт, водительские права, БСК, студенческий, ученический, зачетная книжка). Мы понимаем, что не каждый захочет загружать в сеть фотографии личных документов, поэтому важную информацию (например, номер паспорта) можно замазать в графическом редакторе или закрыть листом бумаги. Достаточно, чтобы было видно ФИО, фото и печать 4. Фотография, на которой видно ваше лицо на фоне вашей заявки (т. е. рядом с монитором так, чтобы на нём было видно ваш вопрос)","Если на чужой странице используются ваше имя, фамилия, фотография или другие данные, напишите нам. Для решения понадобятся следующие данные:1. Ссылка на страницу самозванца2. Описание, что именно украдено (главная фотография, информация, имя)3. Фотография вашего документа (это может быть паспорт, водительские права, БСК, студенческий, ученический, зачетная книжка). Мы понимаем, что не каждый захочет загружать в сеть фотографии личных документов, поэтому важную информацию (например, номер паспорта) можно замазать в графическом редакторе или закрыть листом бумаги. Достаточно, чтобы было видно ФИО, фото и печать 4. Фотография, на которой видно ваше лицо на фоне вашей заявки (т. е. рядом с монитором так, чтобы на нём было видно ваш вопрос).Все это нам нужно, чтобы быть уверенными, что к нам обращается истинный владелец этих фотографий."
