Ссылка на статью;Заголовок статьи;Текст статьи
vk.com/faq20518;Как дарить стикеры от имени сообщества?;На данный момент это невозможно. Сообщества, которые умеют дарить стикеры – наши официальные сообщества или сообщества-партнеры, в которых мы проводим специальные акции. Пожалуйста, будьте бдительны, такие сообщества обязательно имеют галочку верификации.
vk.com/faq20517;Как удалить игру или приложение из сообщества?;Под главной фотографией сообщества могут находиться 2 вида приложений: [vk.com/dev/community_apps|Приложения сообществ] [vk.com/dev/native|Игры и приложения] из [vk.com/apps?act=manage|каталога].Приложение сообщества можно убрать в разделе «Управление сообществом» – «Приложения». Игру или приложение из каталога может удалить любой администратор. Нужно открыть ссылку vk.com/apps?act=apps&gid=ID_СООБЩЕСТВА и нажать напротив него на крестик.
vk.com/faq20516;Можно ли использовать одно приложение на нескольких доменах?;Вы можете указать все нужные доменные имена в поле «Базовый домен» на странице с настройками приложения.Обратите внимание, чтобы виджеты, используемые на разных доменах, синхронизировались, необходимо использовать в них идентичные параметры page_id.
vk.com/faq20515;Как отключить бота в сообществе?;Для этого вам необходимо либо удалить сервер, на котором расположен бот, либо удалить ключ доступа, с которым он работает.Делается это в разделе «Управление сообществом» – «Работа с API».
vk.com/faq20514;Есть ли API для VK Donut?;Для взаимодействия с [https://vk.com/blog/vk-donut|VK Donut] через API есть набор методов. {|nomargin|-! Метод!!Результат |-| [https://vk.com/dev/donut.isDon|donut.isDon] || Подписан ли пользователь на платный контент (является ли доном).|-| [https://vk.com/dev/donut.getSubscription|donut.getSubscription] || Стоимость подписки, статус, дата следующего платежа.|-| [https://vk.com/dev/donut.getSubscriptions|donut.getSubscriptions] || Подписки пользователя.|-| [https://vk.com/dev/donut.getFriends|donut.getFriends] || Список донов из числа друзей пользователя.|-| [https://vk.com/dev/groups.getMembers|groups.getMembers] || Список донов сообщества по ключу пользователя (ключ должен принадлежать как минимум редактору сообщества) и по ключу сообщества (см. параметр filter).|-| [https://vk.com/dev/wall.post|wall.post] || Публикует на стене запись только для донов. Позволяет задать время, через которое запись появится для всех подписчиков, то есть станет бесплатной (см. параметр donut_paid_duration).|-| [https://vk.com/dev/wall.edit|wall.edit] || Меняет значение параметра donut_paid_duration.|}Подробнее можно узнать в [https://vk.com/dev/donut_api|этом] разделе из документации.
vk.com/faq20511;Как получить основу слова?;Используйте метод [vk.com/dev/streaming.getStem|streaming.getStem].
vk.com/faq20510;Как написать правило, чтобы искать слова без учёта регистра?;Если слова указаны без двойных кавычек, поиск ведётся с упрощением (все словоформы без учёта регистра).Для поиска по точному вхождению (с учётом регистра, словоформы и т. п.) каждое слово должно быть указано в двойных кавычках.Подробнее о формате правил читайте в документации: https://vk.com/dev/streaming_api_docs?f=2.%20%D0%A4%D0%BE%D1%80%D0%BC%D0%B0%D1%82%20%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%D0%BB.
vk.com/faq20509;Почему Streaming API передаёт не все события?;Если у вас базовая версия Streaming, то вам вернется 1% от объёма всего публичного контента. Если расширенная версия, то воспользуйтесь методом [vk.com/dev/streaming.getStats|streaming.getStats]. Если значение received меньше prepared, значит, на вашей стороне что-то идёт не так.
vk.com/faq20508;Доступ к Streaming API;Вы можете получать 100% выборки данных по фильтрам вплоть до ~1800000 событий в месяц. Для подключения этой возможности расскажите нам, как вы планируете использовать данные, и укажите ID вашего приложения.
vk.com/faq20507;Что такое Streaming API?;Streaming API позволяет получать открытые текстовые публикации из ВКонтакте по заданным ключевым словам, не совершая лишних поисковых запросов.Streaming API передаёт данные с помощью технологии WebSocket. Благодаря этому инструменту вы можете проанализировать частоту, тональность и контекст упоминания вашего бренда на платформе ВКонтакте, провести социологическое исследование и многое другое.Отметим, что Streaming API не поможет в получении данных из конкретных сообществ. Если сообщество принадлежит вам, то используйте событие wall_post_new, которое возвращает [vk.com/dev/callback_api|Callback API] или [https://vk.com/dev/bots_longpoll| Bots Long Poll API].
vk.com/faq20502;Как на своём сайте сделать авторизацию через ВКонтакте?;Сейчас мы постепенно уходим от OAuth-авторизации в пользу более современного и удобного VK ID.VK ID позволяет настроить бесшовную авторизацию, а также предоставляет систему регистрации и восстановления доступа. Подробнее узнать об интеграции VK ID в собственный проект можно на [https://dev.vk.com/vkid/plan|портале для разработчиков].
vk.com/faq20501;Что такое redirect_uri?;redirect_uri — это URL-адрес, на который будет переадресован браузер, после того как пользователь разрешит ему получить [https://dev.vk.com/api/access-token/getting-started|ключ доступа].Обратите внимание: если вы используете приложение с типом «Сайт», этот же адрес следует указать в настройках вашего приложения (поля: Адрес сайта, Базовый домен и Доверенный Redirect URI).
vk.com/faq20500;Что делать, если мой ключ доступа попал в чужие руки? Как отозвать токен?;Токен — это такой же ключ от профиля, как логин и пароль. Если он окажется у злоумышленника, в его руки могут попасть ваши личные данные.Поэтому, если у вас есть хоть малейшие подозрения, что ключ доступа оказался в чужих руках, рекомендуем незамедлительно его аннулировать. Сделать это можно несколькими способами: Ключ доступа пользователя* Перейдите в личный кабинет VK ID в раздел [https://id.vk.com/account/#/services|Сервисы и сайты] → в блоке «Внешние сервисы» найдите приложение, токен которого был скомпрометирован, и отключите его.*В личном кабинете VK ID перейдите в раздел [https://id.vk.com/account/#/security|Безопасность и вход] и сбросьте активные сеансы. Обратите внимание, что после этого потребуется повторная авторизация во всех сервисах.*Измените пароль в [https://id.vk.com/account/#/password-change|личном кабинете], тогда активные сеансы будут сброшены, а токены — аннулированы.Ключ доступа сообщества*В версии для компьютера перейдите в сообщество → Управление → в блоке справа выберите подраздел Работа с API и удалите скомпрометированный токен.Сервисный ключ доступа*Перейдите к [https://vk.com/apps?act=manage|списку своих приложений], найдите нужное и напротив него нажмите «Редактировать» → «Настройки» → щёлкните по значку с изображением глаза в поле «Сервисный ключ доступа» и подтвердите действие, после чего в поле появится кнопка для обновления токена. Не забудьте в конце сохранить изменения.
vk.com/faq20499;Что такое токен?;Токен или ключ доступа — это случайно сгенерированная строка, состоящая из цифр, латинских букв и специальных символов. Токен возвращается в качестве результата авторизации пользователя.На нашей платформе есть друзья, настройки приватности и чёрные списки. Внешний вид разделов зависит от того, кто именно просматривает профиль: некоторые увидят всю ту же информацию, что и владелец, другие — лишь общедоступные данные.Чтобы при использовании API сохранить этот принцип, почти все методы требуют авторизации. А токен содержит информацию о том, кто именно обращается к серверу и какие права у него есть.В VK SDK предусмотрены следующие типы токенов: [https://platform.vk.com/docs/vkid/1.35.0/tokens/silent-token|Silent token] возвращается после того, как пользователь авторизуется в вашем сервисе с помощью VK ID [https://platform.vk.com/docs/vkid/1.35.0/tokens/access-token|Access token] — его можно обменять по инструкции на полученный при авторизации Silent token [https://platform.vk.com/docs/vkid/1.35.0/tokens/superapp-token|SuperApp token] — может быть сгенерирован на основе Access token, он используется, когда требуется выполнить некоторое действие без передачи Access token [https://platform.vk.com/docs/vkid/1.35.0/tokens/service-token|Сервисный токен] — генерируется автоматически после [https://dev.vk.com/vkid/create-application|создания приложения] и находится в настройках приложения.Ключ доступа сообщества можно получить через [https://dev.vk.com/api/access-token/getting-started#%D0%9A%D0%BB%D1%8E%D1%87%20%D0%B4%D0%BE%D1%81%D1%82%D1%83%D0%BF%D0%B0%20%D1%81%D0%BE%D0%BE%D0%B1%D1%89%D0%B5%D1%81%D1%82%D0%B2%D0%B0|OAuth-авторизацию], либо в версии платформы для компьютера в «Управлении» сообществом в разделе «Работа с API».
vk.com/faq20498;Что означает ошибка 27?;Эта ошибка может появляться в двух случаях.1. Вы пытаетесь с токеном сообщества вызвать метод, который можно использовать только с токеном пользователя. 2. Если метод вызывается с токеном сообщества, а ошибка всё равно возникает, это значит, что токен уже недействителен и нужно создать новый.
vk.com/faq20497;Метод photos.get не видит альбом с id=-9000;Для получения через API фотографий, на которых отмечен пользователь, используйте метод [https://vk.com/dev/photos.getUserPhotos|photos.getUserPhotos].
vk.com/faq20496;Не приходит уведомление о продлении тестовой подписки, почему?;Статус подписки не меняется при продлении (списании нового платежа у пользователя), платёжные уведомления приходят только при смене статуса. Вы не получите платёжное уведомление о продлении подписки — оно придёт лишь в том случае, если пользователь откажется её продлевать и отменит подписку.
vk.com/faq20495;Превышена длина запроса —  413 Request Entity Too Large;Ошибка 413 Request Entity Too Large при отправке запроса не является специфичной для API ВКонтакте — она возникает при превышении ограничения на длину GET-запроса: https://ru.wikipedia.org/wiki/HTTP#GETЧтобы с ней не сталкиваться -- нужно укладываться в 2048 символов или использовать для передачи данных POST: https://ru.wikipedia.org/wiki/HTTP#POSTОграничение на POST c нашей стороны -- 128kb
vk.com/faq20494;Ошибка No &#39Access-Control-Allow-Origin&#39 header при загрузке фотографий из браузерного JS;Загрузить фото таким образом не получится, к сожалению.Проблема в том, что в XHR нельзя работать с кроссдоменными запросами, если на сервере нет соответствующих заголовков. У нас по соображениям безопасности их нет.Подробнее о кроссдоменных запросах можно узнать здесь: https://developer.mozilla.org/ru/docs/Web/HTTP/CORS
vk.com/faq20493;Unknown error occured при загрузке изображения;Похоже, вы достигли количественного лимита на загрузку изображений. Необходимо подождать и продолжить загрузку на следующий день. Если в сообщениях сообщества работает бот, загружающий картинки, такая ошибка означает, что он работает неверно. Необходимо изменить схему загрузки изображений согласно [https://vk.com/dev/bots_docs_2?f=3.2.%2B%D0%92%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F|Документации].Понадобятся для этого методы:https://vk.com/dev/photos.getMessagesUploadServer https://vk.com/dev/docs.getMessagesUploadServer
vk.com/faq20492;Что значит «убрать экранирование»?;"Экранирование символов — замена в тексте управляющих символов на соответствующие текстовые подстановки.Рассмотрим на примере.После успешной загрузки фотографии сервер возвращает в ответе JSON-объект с полями server, photo, hash, crop_data, crop_hash и выглядит все это примерно так:<blockquote>{""server"":625831,""photo"":""[{\""photo\"":\""8d81799f90:w\"",\""sizes\"":[[\""s\"",\""625831075\"",\""45839\"",\""-5fbUeQq1YY\"",75,56],[\""m\"",\""625831075\"",\""4583a\"",\""G8yAYbsk7M4\"",130,97]]}]"",""hash"":""8954a4da5ba06d4e"",""crop_data"":""oAAmMpwAAAAAlTWyjA"",""crop_hash"":""729155760247b391134""}</blockquote>Но при сохранении фотографии вам нужно избавиться от лишних слэшей, которые защищают кавычки от преобразования в управляющие символы. В php это, например, можно сделать с помощью функции stripslashes(), или же просто использовать json_decode() для всего ответа.Избавление от лишних слэшей и будет победой над экранированием."
vk.com/faq20491;Из-за чего при авторизации возникает ошибка «Security Error»?;«Security Error» — ошибка, которая появляется: при устаревшей сессии в браузере<blockquote>В этом случае она проходит сама через некоторое время.Чтобы ускорить процесс, можно заново авторизоваться в VK.</blockquote> при частых авторизациях.<blockquote>Подождите 24 часа с момента последней авторизации. Если вы часто получаете ключ доступа для тестирования приложения, то нужно изменить логику авторизации и запрашивать его со [https://vk.com/dev/permissions|scope] offline.</blockquote>
vk.com/faq20490;Internal server error code 10;Эта ошибка возникает на нашей стороне, у нас на серверах. Стоит чуть-чуть подождать и повторить запрос снова. Если она раз за разом повторяется, нужно связаться с нами.
vk.com/faq20489;Ошибка 9, Flood control в отправке сообщений с бота;"Ошибка ""Flood control: too much messages sent to user"" появляется в том случае, если бот отправляет пользователю более 1000 сообщений в час. Снять этот лимит нельзя, только контролировать количество отправленных сообщений на стороне бота."
vk.com/faq20488;Можно ли вызывать хранимую процедуру внутри другой хранимой процедуры?;Вызвать одну хранимую процедуру из другой, увы, невозможно. Единственный вариант — сохранять промежуточный результат на своей стороне.
vk.com/faq20487;Методы для работы с живыми обложками;К сожалению, методов для работы с анимированными обложками (их можно увидеть в приложении) пока нет. В будущем, скорее всего, они появятся.
vk.com/faq20486;Почему я не могу получить больше 1000 первых результатов в некоторых методах и параметр «offset» не работает?;"На странице каждого такого метода (например: vk.com/dev/groups.search) мы честно указываем:""Обратите внимание — даже при использовании параметра offset для получения информации доступны только первые 1000 результатов. ""Многие поисковые методы работают по этой схеме, это связано с ограничениями движка. Более того, в полной версии сайта вам тоже будет доступно не более 1000 результатов."
vk.com/faq20485;Как  указать ссылку на источник с помощью API?;Для этого нужно указать ссылку в параметре copyright: https://vk.com/dev/wall.post.Проверить правильность ссылки можно с помощью метода: https://vk.com/dev/wall.checkCopyrightLink.
vk.com/faq20484;Почему не возвращаетcя параметр «out» в message.get и как получить исходящие сообщения?;Параметр <<out>> не так часто пользовался, при этом давая существенную нагрузку на сервера, поэтому мы прекратили его поддержку в методе vk.com/dev/messages.getПолучить исходящие сообщения можно при помощи vk.com/dev/messages.getHistory
vk.com/faq20483;Какие методы api есть для работы со статьями?;"Методов для работы с лонгридами пока что нет.Но вы можете отправить в сообщении уже существующую статью, указав в поле ""message"" ссылку на эту статью (метод https://vk.com/dev/messages.send).Если вы хотите опубликовать созданную статью на стене, то можете воспользоваться методом wall.post (https://vk.com/dev/wall.post). В данном методе необходимо указать статью в поле ""attachments"" вида articleXXX_YYY. Где ""XXX"" - id автора поста (перед id сообщества нужно ставить ""-""), а ""YYY"" - id статьи.Id можно посмотреть в десктопной версии сайта в момент редактирования статьи. Если вы не являетесь автором статьи, то id можно посмотреть с помощью инструментов веб-разработчика в браузере. Более удобных способов, к сожалению, нет.Также убедитесь, что статья уже опубликована. Черновик статьи передать в сообщении/записи не получится."
vk.com/faq20482;Можно ли переслать сообщения из беседы или ответить на сообщение в беседе с ключом сообщества?;Боты в беседах могут пересылать сообщения и отвечать на них. Для этого нужно передать JSON-объект в параметре forward при отправке сообщения, заполнив поле conversation_message_ids. Формат объекта можно найти на [https://vk.com/dev/messages.send|странице документации].
vk.com/faq20481;Как сменить язык ответа на запросы API?;Для этого вам следует использовать общий для всех запросов параметр lang.Он определяет язык, на котором будут возвращаться различные данные, например, названия стран и городов. Может содержать строковое обозначение языка или его идентификатор (получить идентификатор языка пользователя вы можете методом account.getInfo).ru (0) — русский,ua (1) — украинский,be (2) — белорусский,en (3) — английский,es (4) — испанский,fi (5) — финский,de (6) — немецкий,it (7) — итальянский.Кириллические имена будут автоматически транслитерированы в латиницу для всех языков, кроме русского, украинского и белорусского.
vk.com/faq20480;Как определить, какие права нужны для вызова метода?;На портале для разработчиков в шапке каждого метода есть информация о том, какие права необходимы для его вызова. Полный список методов можно найти по [https://dev.vk.com/method|ссылке].Запросить необходимые права нужно будет при авторизации пользователя (задайте их в разделе «Доступы приложений» на [https://platform.vk.com/|платформе для разработчиков]) или с помощью метода [https://dev.vk.com/bridge/VKWebAppGetAuthToken|VKWebAppGetAuthToken] из VK Bridge.
vk.com/faq20479;Можно ли удалить сообщение в беседе с ключом сообщества?;Для удаления сообщений нужно вызвать метод [https://dev.vk.com/method/messages.delete|messages.delete] с параметрами: peer_id, cmids, delete_for_all.Бот может удалять только сообщения от обычных участников беседы. При попытке удалить реплики администраторов будет выводиться ошибка «Access denied: message can not be deleted (admin message)».
vk.com/faq20478;Как получить количество просмотров записей?;Начиная с версии 5.63 API возвращает поле views в объекте записи.Получить просмотры записей можно при помощи методов [vk.com/dev/wall.get|wall.get] и [vk.com/dev/wall.getById|wall.getById].
vk.com/faq20477;Что такое хранимые процедуры?;Хранимая процедура — это заданный алгоритм, позволяющий вам реализовать быстрый вызов сразу нескольких методов API, аналогично принципу работы метода [vk.com/dev/execute|execute], но без передачи кода по сети (в запросе необходимо указывать только имя процедуры и необходимые параметры).Создавать новые хранимые процедуры вы можете на соответствующей вкладке раздела редактирования вашего приложения.
vk.com/faq20476;Как написать свою игру или приложение?;Чтобы создать приложение или игру, нужно обладать немалыми навыками программирования, ведь придется объединить идею, оформление и программный код в единое целое. Обычно этому очень долго и усердно учатся.Вы обладаете навыками программирования, у вас уже есть готовая игра или приложение, которые вы хотите разместить ВКонтакте? Если да, то вам сюда — https://dev.vk.com/.
vk.com/faq20475;Как установить виджет в сообщество?;Установить виджет можно через каталог приложений сообщества. Все приложения, у которых есть виджет, отмечены специальным одноимённым значком. Эта возможность есть у следующих приложений: • [https://vk.com/app5748831|Рассылки]• [https://vk.com/app5671337|Тесты] • [https://vk.com/app5727453|Пожертвования] • [https://vk.com/app5708398|Заявки] • [https://vk.com/app5619682|Анкеты] • [https://vk.com/app5792770|Магазин товаров] • [https://vk.com/app5739272|Статус заказа]Выберите подходящее приложение, добавьте его в сообщество и настройте. Подробности о настройке виджета можно узнать у его разработчиков. Их контакты отображаются под открытым приложением или в пункте Действие → Разработчик. Изменить вид виджета можно лишь в том случае, если внутри приложения такая возможность предусмотрена.Обратите внимание: единовременно в сообществе может быть активен только один виджет.
vk.com/faq20474;Как получить право app_widget для ключа сообщества?;"Право доступа к виджетам приложений можно запросить с помощью события [https://dev.vk.com/bridge/VKWebAppGetCommunityToken|VK Bridge] в приложении с типом VK Mini Apps.Пример запроса:<blockquote>bridge.send(""VKWebAppGetCommunityToken"", {""app_id"": 6909581, ""group_id"": 1, ""scope"": ""app_widget""})</blockquote>"
vk.com/faq20473;Что означает ошибка «Problem with the local SSL certificate»?;Такая ошибка возникает, если сертификат для Callback-сервера был неправильно сгенерирован. Вам нужно заново сгенерировать его строго по [https://vk.com/dev/certificate|инструкции].
vk.com/faq20472;Как указать порт у сервера в Callback API?;Мы не поддерживаем порты в URL-aдресе для Сallback-серверов.
vk.com/faq20471;Почему дублируются уведомления от сервера Callback API?;"После получения каждого уведомления ваш сервер должен возвращать только строку ""ok"" (без кавычек и других символов) и HTTP-статус 200.Уведомления о событиях будут отправлены повторно, если сервер не получил ответ в течение 8 секунд. Если сервер несколько раз подряд вернёт ошибку, Callback API временно перестанет отправлять на него уведомления."
vk.com/faq20470;Можно ли получать события об отметках «Нравится» в сообществе?;Да, для этого в сообществе нужно настроить [https://vk.com/dev/callback_api?f=1.%20%D0%9F%D0%BE%D0%B4%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D0%B5%20Callback%20API|Callback-сервер] и на вкладке Типы событий поставить галочки напротив пунктов Добавление отметки «Нравится» и Удаление отметки «Нравится». После этого на URL-адрес Callback-сервера будут приходить события like_add и like_remove о добавлении и удалении отметки «Нравится» к записям на стене сообщества. Подробная информация о структуре событий в сообществе есть в [https://vk.com/dev/groups_events|документации].
vk.com/faq20469;Как узнать, кто подписался на сообщения сообщества через виджет?;Пользователи, которые подписались на сообщения сообщества через виджет, не сохраняются в отдельный список на нашей стороне. Для получения списка таких пользователей нужно обрабатывать события widgets.allowMessagesFromCommunity.allowed и widgets.allowMessagesFromCommunity.denied, как описано в [https://vk.com/dev/widget_allow_messages_from_community?f=3.%20%D0%A1%D0%BE%D0%B1%D1%8B%D1%82%D0%B8%D1%8F|документации].
vk.com/faq20468;Как получить адрес сервера для настройки Callback API?;Для работы с Callback API вам потребуется собственный сервер. Во вкладке Настройки сервера  в поле Адрес нужно указать URL, по которому ваш скрипт обрабатывает входящие HTTP-запросы с событиями Callback API. Для создания скрипта потребуются навыки программирования и знание [https://vk.com/dev/bots_docs|документации].
vk.com/faq20467;Что делать, если при настройке Callback-сервера вернулась ошибка «Peer certificate cannot be authenticated with given CA certificates»?;Такая ошибка возникает из-за несоответствия SSL-сертификатов. Проблема может заключаться как в неправильной генерации клиентского сертификата, так и в серверном сертификате.Серверный сертификат должен быть выдан авторизованным центром сертификации, самоподписанного корневого сертификата недостаточно для работы с Callback API. Дополнительно не забудьте настроить свой сервер, чтобы он умел проводить аутентификацию с использованием клиентского сертификата, который вы создали ранее. В Nginx вам достаточно добавить следующие директивы:<blockquote><code>ssl_client_certificate /path/vkapi.crt ssl_verify_client on ssl_verify_depth 0</code></blockquote>Если с корневым сертификатом всё в порядке, вам нужно заново сгенерировать клиентский сертификат строго по [https://vk.com/dev/certificate|инструкции].
vk.com/faq20466;Что означает ошибка Callback API «Incorrect response text»?;"Такая ошибка возникает, когда ваш сервер возвращает неправильный ответ на событие. На каждое уведомление о событии сервер должен ответить строкой ""ok"" (без кавычек), других символов в ответе быть не должно."
vk.com/faq20465;Как подключить бота к личному профилю?;[https://vk.com/dev/bots|Бота] можно создать только на базе сообщества, в профилях для этого нет нужных инструментов. Подробная информация о создании ботов в сообществе есть в [https://vk.com/dev/bots_docs|документации].
vk.com/faq20464;Почему в сниппете нет поля «description»?;При публикации внешних ссылок на стене мы подтягиваем с сайтов ключевые данные в предпросмотр: изображение и заголовок. Описание («description») мы в сниппет не забираем.Подробнее о данных сниппета написано в [https://vk.com/dev/publications?f=3.1.%20%D0%94%D0%B0%D0%BD%D0%BD%D1%8B%D0%B5%20%D1%81%D0%BD%D0%B8%D0%BF%D0%BF%D0%B5%D1%82%D0%B0|документации].
vk.com/faq20463;Как сделать большую картинку в сниппете?;Чтобы в сниппете отображалась большая картинка, её размер в OpenGraph-метатеге vk:image (или og:image) должен быть не меньше 537×240px в аналогичных пропорциях. Тогда картинка в сниппете будет размером 510x228px. Если же картинка в метатеге имеет меньший размер (но не менее 160 пикселей по каждой из сторон, иначе картинка не подтянется вообще), её размеры в сниппете будут также меньше -- 150x83px. Если к публикации или сообщению прикреплено вложение (например, фотография, видео, опрос, фотоальбом, ссылка на приложение), то сниппет будет отображаться в уменьшенном формате (150x83px).
vk.com/faq20462;Как разместить запись на стене пользователя из игры?;Для отправки записей на стену нужно использовать метод [vk.com/dev/wall.post|wall.post] с [vk.com/dev/api_confirm|окном подтверждения] или событие [https://vk.com/dev/vk_bridge_events_2?f=%D0%9F%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%B0%D1%86%D0%B8%D1%8F%20%D0%B7%D0%B0%D0%BF%D0%B8%D1%81%D0%B5%D0%B9%20%D0%BD%D0%B0%20%D1%81%D1%82%D0%B5%D0%BD%D0%B5|VKWebAppShowWallPostBox] из [https://vk.com/dev/vk_bridge_events|VK Bridge] для [https://vk.com/dev/direct_games|Direct Games].
vk.com/faq20461;Как установить для ссылки в VK изображение, которое будет отличаться от сниппетов в других социальных сетях?;"Если вам нужно использовать для ВКонтакте уникальное изображение в сниппете, которое должно отличаться от изображений на других платформах, воспользуйтесь специальным метатегом vk:image.Пример использования метатега:<blockquote><meta property=""vk:image"" content=""http://site.ru/thumbnail.png""/></blockquote>Разместить его надо между тегами <code><head></code> и <code></head></code> в шапке сайта.Также примите во внимание рекомендации из [vk.com/faq11677|статьи]."
vk.com/faq20460;Как отправить сниппет в сообщении через API?;Чтобы через API отправить сообщение со сниппетом ссылки, нужно передать в методе [vk.com/dev/messages.send|messages.send] параметр dont_parse_links со значением 0, а саму ссылку — в параметре message.
vk.com/faq20459;Почему может не подгружаться картинка в сниппете?;"При публикации внешних ссылок на стене или в личных сообщениях мы подтягиваем с сайтов ключевые данные в предпросмотр: изображение и заголовок. Из них потом формируется сниппет. ВКонтакте, как и другие платформы, в первую очередь забирает изображение и заголовок для сниппета из OpenGraph-метатегов, которые прописаны в коде шапки сайта: vk:image (или og:image), og:title. Если этих тегов нет, для сниппета забирается первое изображение, которое будет найдено в коде. Поэтому для корректного отображения сниппета нужно на вашем сайте прописать ссылку на изображение в строке:<blockquote><meta property=""og:image"" content=""http://site.ru/thumbnail.png""/></blockquote>между тегами <code><head></code> и <code></head></code>.Если на сайте есть эти теги, размер корректен, но изображение всё равно не подтягивается в сниппет, попробуйте почистить кэш ссылки с помощью метода [https://vk.com/dev/pages.clearCache|pages.clearCache], а затем снова опубликуйте ссылку.Также примите во внимание рекомендации:*из форматов лучше использовать JPEG и PNG -- favicon не подтягивается*адрес до изображения нужно указывать абсолютный, а не относительный *минимальный размер изображения для формирования сниппета -- 160px по каждой из сторон*минимальный размер для формирования сниппета с большим изображением -- 537х240px."
vk.com/faq20458;Как передать событие о новом сообщении через виджет в Яндекс Метрику;Увы, пока виджет сообщений сообщества не поддерживает событий, передать данные не получится.
vk.com/faq20457;Можно ли отвечать от имени сообщества в виджете комментариев на своём сайте?;К сожалению, виджет комментариев никак не связывается с сообществом и такой возможности нет.
